EinzelteilNr,Bezeichnung
1001,Surly Long Haul Trucker Rahmenkit
1002,Surly Troll Rahmenkit
1003,Salsa Cutthroat Rahmenkit
1004,VOTEC VRC Framekit
1005,Cervelo C3 Frameset
1006,Ortler Bricktown S Damen
1007,Radon Scart Light Lady
1008,Focus Raven 8.7
1009,Giant Trinity Advanced Pro Time Trial
1010,Red Cycling Products Kickstand Multi Disc Hinterbaustaender
1011,Cube Universal Fahrradstaender
1012,Tubus Seitenstaender schwarz
1013,Kein Fahradstaender
1014,Red Cycling Products Alu Carrier Disc Gepaecktraeger
1015,XLC RP-R07 Gepaecktraeger fuer Sattelstuetzen schwarz
1016,Red Cycling Products Front Tray silver
1017,Tubus Cosmo Gepaecktraeger
1018,Kein Gepaecktraeger
1019,SKS Velo 55 Trekking Schutzblech
1020,Zefal City Schutzblech Set schwarz
1021,XLC MG-C25 Schutzblech Set Mountain
1022,Kein Schutzblech
2001,SR Suntour SF18 Nex-E25 HLO P Federgabel
2002,RockShox Paragon Gold TK SA Federgabel
2003,SR Suntour SF17NCX-E-Air-RL Federgabel
2004,RockShox 30 Gold RL SA Federgabel
2005,Marzocchi Bomber 58 Federgabel
3001,Schwarz Uni Basislack 
3002,Weiss Uni Basislack 
3003,Blau Uni Basislack
3004,Schwarz Metallic Basislack
3005,Weiss Metallic Basislack 
3006,Rot Metallic Basislack 
3007,Blau Metallic Basislack
3008,2K HS-Klarlack
3009,2K HS Haerter fuer Klarlack
3010,2K HS Fueller hellgrau
3011,2K HS Haerter fur Fueller
3012,Silikonentferner
4001,Humpert Cruiser Lenker
4002,XLC HB-C02 City-/Trekking-Lenker
4003,Humpert Country Lenker
4004,Ritchey Comp Streem III Di2 Road Lenker
4005,Cube RFR Standard Griff
4006,Red Cycling Products Super Ergo Grip
4007,Red Cycling Products Urban Classic Grip
4008,Cube Lenkerband Kork
4009,SGODDE Fahrradklingel
4010,BBB Loud & Clear BBB-11 Klingel
4011,Red Cycling Products Alloy Bell
4012,Fischer 85803 BALLHUPE
4013,Ergon GP3 Griffe Gripshift
5001,Exal BE21 Laufradsatz 29" Disc Comp
5002,Shimano WH-RX31 Laufradsatz 12x100/142mm Centerlock
5003,CAMPAGNOLO Zonda Laufradsatz C17 Campa Body
5004,Mavic Comete Pro Carbon SL T Laufradsatz Shimano/SRAM M-11
5005,Mavic Crossmax 29" Laufradsatz Intl
5006,Tune Race 3.0 MTB Laufradsatz 29" X-12 XD
5007,Shimano Nexus DH-C3000-3N Nabendynamo 
6001,Continental Ride Tour Reifen 26 x 1,75 Zoll Draht schwarz/weiss
6002,Continental Contact Plus Reifen SafetyPlus Breaker 28" Draht Reflex
6003,SCHWALBE Tracer Reifen Active 20" K-Guard Draht grey stripes-reflex
6004,Michelin Protek Cross Reifen 28" Draht Reflex schwarz
6005,WTB Vigilante Faltreifen 27,5x2,5" TCS Light Fast Rolling black/light brown
6006,SCHWALBE HS 180 Drahtreifen 26" Active Line K-Guard black/brown
6007,SCHWALBE Pro One Faltreifen 700x25C V-Guard Addix Race black
6008,Pirelli P Zero Velo TT Faltreifen 28x1.00" black
6009,NoTubes Universal Tubeless Ventil 35mm MTB
6010,WTB Presta Tubeless Ventil Aluminium 46mm black
6011,Continental MTB 26 Schlauch
6012,SCHWALBE No.13 Fahrradschlauch
6013,SCHWALBE No.15 Schlauch Rennrad
7001,GX1 1400, GXP
7002,GX 11-fach-X-ACTUATION-Triggerschalter
7003,X-Horizon-Design mit Cage Lock
7004,X1, 118 Glieder mit PowerLock-Verschlussglied
7005,XG 1150
7006,GXP BSA
7007,Shimano FC-R9100
7008,Shimano Dura Ace Di2 ST-R9170
7009,Shimano Dura Ace Di2 RD-R9150 Shadow
7010,Shimano CN-HG901
7011,Shimano CS-R9100
7012,Shimano BB-R9100
7013,XX1 Eagle DUB
7014,XX1 Eagle Triggershifter
7015,X-Horizon, X-Actuation, X-Sync, Roller Bearing Clutch, Cage Lock
7016,XX1 Eagle Kette
7017,XG-1295 Eagle Kassette
7018,Direct Mount, X-Sync
7019,Shimano XT FCM8100
7020,Shimano XT Rapidfire SLM8100
7021,Shimano XT Shadow Plus long Cage RD-M8100 SGS
7022,Shimano XT CNM8100
7023,Shimano XT Micro Spline CSM8100
7024,Shimano T47
7025,Shimano FC-R7000 Kurbelgarnitur
7026,Shimano ST-R7025 Schaltgriff
7027,Shimano RD-R7000 GS Schaltwerk
7028,Shimano CN-HG601 Fahrrad-Kette
7029,Shimano CS-R7000 Fahrrad-Kassette
7030,Shimano SM-BBR60 Innenlager
7031,SRAM Red DUB 2-fach AXS
7032,SRAM Red eTap AXS HRD FM
7033,Schaltwerk SRAM Red eTap AXS mit Batterie
7034,SRAM Red 12-fach
7035,SRAM XG-1290
7036,Umwerfer SRAM Red eTap AXS mit Batterie
7037,SKS Chainbow Kettenschutz
7038,Hebie Chainglider 350 Front-Kettenschutz
7039,Horn Catena A08/48 Kettenschutz
7040,Kein Kettenschutz
8001,Red Cycling Products Trekking Saddle
8002,Selle Royal Classic 6954 Sattel
8003,Velo Softgel Sportsattel Herren schwarz
8004,Red Cycling Products City Comfort Saddle Women
8005,SQlab 612 Ergowave Sattel S-Tube
8006,Selle Italia SLR Boost TI Sattel black
8007,Selle Royal Hello Sattel Kinder schwarz
9001,Shimano Alivio BR-T4000 HR V-Brake
9002,Shimano Alivio BR-T4000 VR V-Brake
9003,Shimano BL-T4000 Bremshebel
9004,Clarks CP200 Bremsbelag
9005,Clarks Stainless Steel Brake Cable
9006,Shimano BR-R7000 Felgenbremse Dual-Pivot Hinterrad CS-51
9007,Shimano BR-R7000 Felgenbremse Dual-Pivot Vorderrad CS-51
9008,Jagwire Mountain Sport
9009,Shimano Alfine BL-S7000 Scheibenbremse I-Spec II Hinten
9010,Shimano Alfine BL-S7000 Scheibenbremse I-Spec II Vorne
9011,Shimano Deore SM-RT56 Bremsscheibe 6-loch
9012,Shimano GRX Di2 ST-RX815/BR-RX810 Scheibenbremse Vorderrad
9013,Shimano GRX Di2 ST-RX815/BR-RX810 Scheibenbremse Hinterrad
9014,Shimano Dura Ace SM-RT900 Ice-Tech Bremsscheibe Center-Lock
9015,Shimano BH90-JK-SSR
10001,SIGMA SPORT Aura 35 USB Frontlicht
10002,SIGMA SPORT Nugget II Ruecklicht
10003,Supernova Airstream 2 Frontlicht
10004,Supernova Airstream Tail Light 2
10005,Busch + Müller Lumotec Lyt senso plus Frontscheinwerfer
10006,Busch + Müller Birne Dynamo Rücklicht
10007,Busch + Müller Lumotec IQ Cyo N plus LED-Scheinwerfer
10008,Busch + Müller Toplight Line plus Diodenrücklicht
10009,MonkeyLink MonkeyLight 70 Lux Recharge Vorne
10010,MonkeyLink MonkeyLight 70 Lux Recharge Hinten
10011,Dynamo RECHTS 6V/3W Überspannungsschutz Doppelanschluss Kunststoff
10012,AXA HR Traction Power Control Hochleistungsdynamo rechts schwarz
10013,Leuchtstreifen
10014,Reflektoren
11001,Red Cycling Products City/Trekking light Pedal
11002,Xpedo Detox Pedale
11003,NOW8 M36 Flat Pedals 6 Pins
11004,Moto Reflex Pedale
11005,Time ATAC XC6 X-Country Pedale
11006,Shimano Dura Ace PD-R9100 Pedale carbon
